pred_label,kind,gold,threshold,precision_mean,recall_mean,f1_mean,precision_std,recall_std,f1_std,pred_count_mean,gold_count,policy,model,sem_mode
LLM-avg,triple,long,0.3,0.4494593453956188,0.984,0.6128933109712353,0.08109257963213855,0.019595917942265444,0.07453611602386118,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.35,0.4494593453956188,0.984,0.6128933109712353,0.08109257963213855,0.019595917942265444,0.07453611602386118,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.4,0.4375545834908568,0.96,0.5970466185076274,0.07558302459325483,0.04381780460041329,0.06912972784635522,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.45,0.431458993557816,0.944,0.5882287890502631,0.08020090200226333,0.03199999999999998,0.075344815374899,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.5,0.4082607879306101,0.8959999999999999,0.557333845165038,0.06655660995595256,0.04079215610874228,0.06277088394761704,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.55,0.39580657547639764,0.8720000000000001,0.5409740855216963,0.05468590581941542,0.03919183588453084,0.046775285499318614,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.6,0.37304431887669015,0.8240000000000001,0.5103394143469927,0.048915144643833404,0.05986651818838307,0.04480932449692727,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.65,0.2941231457682623,0.648,0.40209389643613874,0.049544366568113646,0.06881860213634101,0.053640132675449335,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.7,0.2268437019764658,0.504,0.3109709702602796,0.02829027327130141,0.059866518188383074,0.03152403259671766,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.75,0.17631858828464692,0.392,0.2416934568574624,0.02142535266545732,0.0466476151587624,0.022652480773728983,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.8,0.139955495901005,0.31200000000000006,0.1920793083699482,0.014223198900855227,0.039191835884530846,0.016657704419273462,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.85,0.12270967122618012,0.272,0.16818639138724759,0.0224444883588847,0.0466476151587624,0.028749838548120455,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.9,0.08097967798383407,0.176,0.11030179496713108,0.02001618610949666,0.032,0.024329178802128613,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.1,1.0,0.8115942028985508,0.896,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.15,1.0,0.8115942028985508,0.896,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.2,0.9821428571428571,0.7971014492753623,0.8799999999999999,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.25,0.9285714285714286,0.7536231884057971,0.8320000000000001,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.3,0.875,0.7101449275362319,0.7839999999999999,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.35,0.7857142857142857,0.6376811594202898,0.7039999999999998,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.4,0.7142857142857143,0.5797101449275363,0.64,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.45,0.5892857142857143,0.4782608695652174,0.5279999999999999,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.5,0.5178571428571429,0.42028985507246375,0.46399999999999997,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.55,0.48214285714285715,0.391304347826087,0.432,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.6,0.44642857142857145,0.36231884057971014,0.4,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.65,0.39285714285714285,0.3188405797101449,0.3519999999999999,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.7,0.3392857142857143,0.2753623188405797,0.304,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.75,0.2857142857142857,0.2318840579710145,0.25599999999999995,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.8,0.2857142857142857,0.2318840579710145,0.25599999999999995,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.85,0.23214285714285715,0.18840579710144928,0.20800000000000002,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,short,0.9,0.21428571428571427,0.17391304347826086,0.19199999999999998,0.0,0.0,0.0,56.0,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.1,0.9464285714285714,0.9814814814814815,0.9636363636363636,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.15,0.9464285714285714,0.9814814814814815,0.9636363636363636,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.2,0.9107142857142857,0.9444444444444444,0.9272727272727271,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.25,0.875,0.9074074074074074,0.8909090909090909,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.3,0.8035714285714286,0.8333333333333334,0.8181818181818182,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.35,0.7678571428571429,0.7962962962962963,0.7818181818181819,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.4,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.45,0.625,0.6481481481481481,0.6363636363636364,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.5,0.5535714285714286,0.5740740740740741,0.5636363636363636,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.55,0.5178571428571429,0.5370370370370371,0.5272727272727272,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.6,0.5178571428571429,0.5370370370370371,0.5272727272727272,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.65,0.44642857142857145,0.46296296296296297,0.45454545454545453,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.7,0.39285714285714285,0.4074074074074074,0.39999999999999997,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.75,0.2857142857142857,0.2962962962962963,0.2909090909090909,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.8,0.2857142857142857,0.2962962962962963,0.2909090909090909,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.85,0.21428571428571427,0.2222222222222222,0.21818181818181817,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,medium,0.9,0.17857142857142858,0.18518518518518517,0.18181818181818182,0.0,0.0,0.0,56.0,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,long,0.1,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.0,56.0,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,long,0.15,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.0,56.0,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
OpenIE,node,long,0.2,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.0,56.0,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
